TYPE,ADDRESS,CITY,DATE,TIME
Larceny,100  Harbor St,Syracuse,7/30/17,1:00 AM
Larceny,900  Ackerman Av,Syracuse,7/23/17,1:00 AM
Larceny,100  Mather St,Syracuse,7/8/17,1:00 AM
Larceny,1000  James St,Syracuse,6/23/17,1:00 AM
Larceny,100  Tyler Ct,Syracuse,6/18/17,1:00 AM
Vehicle theft,1400  N  Salina St,Syracuse,3/13/18,1:00 AM
Vehicle theft,100  Maurice Av,Syracuse,2/24/18,1:00 AM
Vehicle theft,1300  Oak St,Syracuse,8/24/17,1:00 AM
Vehicle theft,400  Dewitt St,Syracuse,8/7/17,1:00 AM
Burglary,200  Merriman Av,Syracuse,10/27/17,1:01 AM
Larceny,7700  Brewerton Rd,Cicero,8/10/17,1:01 AM
Murder,6500  Baptist Way,East Syracuse,11/28/17,1:01 AM
Vehicle theft,700  W  Newell St,Syracuse,2/26/18,1:01 AM
Larceny,7900  Brewerton Rd,Cicero,9/29/17,1:02 AM
Larceny,200  E James St,Syracuse,7/11/17,1:02 AM
Robbery,4900  Bear Rd,Syracuse,7/19/17,1:02 AM
Larceny,200  W  Jefferson St,Syracuse,11/12/17,1:04 AM
Larceny,100  Smith Ln,Syracuse,7/26/17,1:04 AM
Robbery,1000  Teall Av,Syracuse,8/12/17,1:04 AM
Robbery,100  Galster Av,Syracuse,7/29/17,1:04 AM
Aggravated assault,0  Baker Av,Syracuse,11/4/17,1:05 AM
Larceny,100  Headson Dr,Syracuse,1/1/18,1:05 AM
Larceny,100  Falstaff Rd,Syracuse,10/11/17,1:06 AM
Vehicle theft,500  Cortland Av,Syracuse,7/19/17,1:06 AM
Larceny,500  Butternut St,Syracuse,8/24/17,1:07 AM
Burglary,5600  Bear Rd,Syracuse,1/7/18,1:08 AM
Burglary,300  Berwick Rd N,Syracuse,8/29/17,1:08 AM
Larceny,8500  Belnor Dr,Cicero,10/22/17,1:08 AM
Burglary,100  Gerald Dr,Syracuse,8/13/17,1:09 AM
Murder,300  Merriman Av,Syracuse,12/12/17,1:09 AM
Aggravated assault,2200  Midland Av,Syracuse,2/1/18,1:10 AM
Aggravated assault,1000  Park St,Syracuse,1/16/18,1:10 AM
Aggravated assault,700  Hazelwood Av,Syracuse,8/6/17,1:10 AM
Burglary,1100  Park St,Syracuse,9/20/17,1:10 AM
